month,rf_anomaly_in,rf_anomaly_pct,t_anomaly
1,0.9219988658012772,17.826453410854707,1.2370794344035332
2,-3.8880904898101747,-75.99944606290154,1.423843108823597
3,-2.629174521654628,-38.36507794337024,1.4070451425775445
4,-0.8968765116705022,-17.855428623863503,1.1545414411531425
5,-0.9239715500357959,-22.536846643285287,0.3292553426487643
6,-0.2602283143730997,-7.191166119113322,0.588742538825386
7,-1.584122891394625,-34.11303867461717,0.5149448358550615
8,-3.1898549973313566,-61.807505935284205,0.5161569337574434
9,-1.5390714874834353,-34.896071144891124,0.4163568280208665
10,-1.5915041631353426,-30.926487910058707,0.1320143034053416
11,-1.1998778717359437,-18.53682547591726,0.36594148308087426
12,-3.1082372641049214,-50.39417307854301,1.0930564451874147
