,county,month,mean_temp_c
0,Hawaiʻi,1,15.851454237039793
1,Honolulu,1,21.001740280696488
2,Kauaʻi,1,19.46881161228021
3,Maui,1,19.483594214574822
4,Hawaiʻi,2,15.626122166055216
5,Honolulu,2,20.926101395977184
6,Kauaʻi,2,19.355462620206815
7,Maui,2,19.336479254186568
8,Hawaiʻi,3,15.87932171296218
9,Honolulu,3,21.247549065595916
10,Kauaʻi,3,19.7599208345069
11,Maui,3,19.56563273292283
12,Hawaiʻi,4,16.482462369045404
13,Honolulu,4,22.084889109876915
14,Kauaʻi,4,20.633437110208025
15,Maui,4,20.296109800310756
16,Hawaiʻi,5,17.28207436586699
17,Honolulu,5,22.92783464049835
18,Kauaʻi,5,21.45227688810204
19,Maui,5,21.068920124302238
20,Hawaiʻi,6,18.022712415538162
21,Honolulu,6,23.916801917592316
22,Kauaʻi,6,22.585454975254496
23,Maui,6,22.0141518482285
24,Hawaiʻi,7,18.641991693294337
25,Honolulu,7,24.536656128039628
26,Kauaʻi,7,23.194196877640525
27,Maui,7,22.66084239703823
28,Hawaiʻi,8,18.983638776648803
29,Honolulu,8,24.962365843590515
30,Kauaʻi,8,23.55453566973806
31,Maui,8,23.03336786173294
32,Hawaiʻi,9,18.6895241959571
33,Honolulu,9,24.88328392374662
34,Kauaʻi,9,23.416099163078904
35,Maui,9,22.8669145997583
36,Hawaiʻi,10,18.367394207847976
37,Honolulu,10,24.323443598018613
38,Kauaʻi,10,22.86340683217318
39,Maui,10,22.43964963265619
40,Hawaiʻi,11,17.456826545391017
41,Honolulu,11,23.07321374962474
42,Kauaʻi,11,21.614166297831247
43,Maui,11,21.41238418599298
44,Hawaiʻi,12,16.424943786031886
45,Honolulu,12,21.855655208646052
46,Kauaʻi,12,20.431067174988936
47,Maui,12,20.26739847691393
